"trt.name","intended.mu","intended.k","temporal.block","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68"
"mu0.1k0.5",1.34,0.27,"a",6.5,NA,NA,NA,16.01,1,1,0,1,0,0,0,3,0,0,0,0,0,2,3,0,0,0,5,4,0,0,0,0,7,0,2,1,3,0,2,0,0,1,0,0,5.43,8,1,6,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,NA,NA,NA
"mu0.2k0.5",2.68,0.27,"b",NA,6.5,NA,NA,NA,30.75,3,1,0,1,0,0,0,5,1,1,0,0,0,3,5,0,0,0,9,7,0,0,0,0,17.29,0,3,2,6,0,4,0,0,1,0,0,10,18.85,2,11,1,4,1,0,0,0,0,0,1,0,0,8,0,0,0,2,0,2,0,0,NA,NA
"mu0.4k0.5",5.36,0.27,"c",NA,NA,6.5,NA,NA,NA,60.23,5,3,0,3,0,0,0,9,1,2,0,0,0,6,10,0,0,0,14,12,0,0,0,0,36.94,0,6,4,11,0,7,0,0,2,1,1,15,42.81,5,28.81,2,8,1,0,0,0,1,0,2,0,0,13,0,0,1,3,1,4,0,1,NA
"mu0.6k0.5",8.04,0.27,"b",NA,6.5,NA,NA,NA,89.69,8,5,0,4,0,0,0,13,2,3,0,0,0,9,14,0,0,1,30.11,16,0,0,0,0,44.41,1,10,6,15,0,11,0,0,4,1,1,35.48,55.04,7,42.95,3,12,2,0,0,0,1,0,3,1,0,17,0,0,2,5,2,6,0,1.5,NA,NA
"mu0.8k0.5",10.73,0.27,"c",NA,NA,6.5,NA,NA,NA,119.15,11,6,0,5,0,0,0,16,3,3,1,0,0,12,17,0,0,1,40.05,30.28,0,0,1,0,57.09,1,13,9,18,0,14,0,0,5,1,2,45.1,73.14,10,47.13,4,15,3,0,0,0,2,0,4,1,0,34.63,0,0,2,7,2,8,0,2,NA
"mu1k0.5",13.41,0.27,"a",6.5,NA,NA,NA,148.61,13,8,0,7,0,0,0,18,3.69,4,1,0,0,14,29.53,1,0,1,43.21,37.8,0,0,1,0,71.21,2,15,11,33.3,0,16,0,0,6,2,2,49.99,91.23,12,58.82,5,17,4,0,0,0,3,0,5,1,0,43.08,0,0,3,9,3,10,0,3,NA,NA,NA
"mu1.5k0.5",20.11,0.27,"a",6.5,NA,NA,NA,222.26,17,12,0,11,1,0,0,37.82,5,7,1,0,0,18,39.4,1,0,2,64.67,49.87,0,0,1,0,106.54,2,28.31,15,44.24,0,31.54,0,0,10,3,3,74.8,136.47,16,88.01,9,35.22,6,0,0,0,4,0,8,2,0,56.55,0,0,4,13,5,14,1,4,NA,NA,NA
"mu2k0.5",26.82,0.27,"a",6.5,NA,NA,NA,295.91,30.49,14,0,13,1,0,0,52.5,7,9,2,0,0,33.9,56.24,1,0,2,86.13,66.44,0,0,1,0,141.86,3,37.74,17,58.93,0,42.03,0,0,12,3,4,99.61,181.71,18,117.2,11,46.92,8,0,0,0,4,0,10,2,0,75.34,1,0,5,15,6,16,1,4.5,NA,NA,NA
"mu2.5k0.5",33.52,0.27,"b",NA,6.5,NA,NA,NA,369.55,38.11,16,0,15,1,0,0,58.64,9,11,2,0,0,42.37,65.58,2,0,3,107.6,82.99,0,0,2,0,177.19,4,47.16,30.83,73.63,0,52.52,0,0,14,4,5,124.43,226.95,34.32,146.39,13,53.82,10,0,0,0,6,0,12,3,1,94.11,1,0,7,17,8,18,1,6.5,NA,NA
"mu3k0.5",40.22,0.27,"c",NA,NA,6.5,NA,NA,NA,443.2,45.74,17,0,16,2,0,0,70.34,10,12,3,0,0,50.84,78.69,2,0,3,129.06,99.56,0,0,2,0,212.52,4,56.58,37.03,88.31,0,57.26,0,1,15,5,6,149.24,272.18,41.13,175.58,14,63.02,11,0,0,0,7,0,13,4,1,112.88,1,0,8,29.94,9,33.33,1,7.5,NA
"mu0.1k1",1.34,0.53,"a",6.5,NA,NA,NA,13.45,2,1,0,1,0,0,0,3,1,1,0,0,0,2,3,0,0,0,4,3,0,0,0,0,6,0,2,1,3,0,2,0,0,1,0,0,5,7,2,5,1,2,1,0,0,0,0,0,1,0,0,4,0,0,0,1,1,1,0,0,NA,NA,NA
"mu0.2k1",2.68,0.53,"c",NA,NA,6.5,NA,NA,NA,30.89,3,2,0,2,0,0,0,5,1,2,1,0,0,4,5,0,0,1,7,6,0,0,0,0,10,1,4,3,6,0,4,0,0,2,1,1,8,11,3,9,2,5,2,0,0,0,1,0,2,1,0,7,0,0,1,3,1,3,0,1,NA
"mu0.4k1",5.36,0.53,"c",NA,NA,6.5,NA,NA,NA,40.6,7,5,0,5,1,0,0,10,3,3,1,0,0,8,11,1,0,1,15,13,0,0,1,0,26.76,2,8,6,12,0,9,0,0,4,2,2,16,27.43,7,17,4,9,3,0,0,0,2,0,4,2,1,14,1,0,2,5,3,6,1,2,NA
"mu0.6k1",8.04,0.53,"b",NA,6.5,NA,NA,NA,60.11,10,7,0,7,1,0,0,15,4,5,2,0,0,11,16,2,0,2,20,18,1,0,2,0,40.62,3,12,9,17,0,13,0,1,6,3,3,21,46.47,9,33.49,6,14,5,1,0,0,3,0,5,2,1,19,1,0,4,8,4,8,1,3.5,NA,NA
"mu0.8k1",10.73,0.53,"a",6.5,NA,NA,NA,79.6,14,9,0,9,2,0,1,19,6,7,3,1,0,15,20,2,0,3,34.03,22,1,0,3,0,49.32,4,16,12,21,0,17,0,1,8,4,4,38.41,53.82,13,44.4,8,18,6,1,0,0,5,0,7,3,1,23,2,0,5,10,5,11,2,5,NA,NA,NA
"mu1k1",13.41,0.53,"b",NA,6.5,NA,NA,NA,99.1,18,13,1,12,3,0,1,23,8,9,4,1,0,19,24,3,0,4,38.12,34.6,1,0,3,0,55.31,5,20,16,25,0,21,0,2,11,5,6,42.4,67.01,17,47.85,10,22,8,1,0,0,6,0,9,4,2,36.09,2,0,7,14,7,15,2,6.5,NA,NA
"mu1.5k1",20.11,0.53,"b",NA,6.5,NA,NA,NA,147.82,24,19,1,18,4,0,1,40.16,12,14,6,2,0,25,43.48,5,0,6,56.94,51.73,2,0,5,0,82.56,7,26,22,47.29,0,27,0,3,17,8,8,63.32,100.01,23,71.44,16,28,13,2,0,0,9,1,15,7,3,52.95,3,1,10,20,11,21,4,9.5,NA,NA
"mu2k1",26.82,0.53,"b",NA,6.5,NA,NA,NA,196.55,28,23,2,22,6,0,2,53.44,16,18,7,2,0,29,57.89,6,0,8,75.76,66.24,3,0,7,0,109.82,10,42.75,26,62.95,0,45.95,0,4,21,11,12,84.25,133,27,95.04,20,49.49,17,3,1,1,13,1,19,9,4,68.82,5,1,14,24,15,25,5,13.5,NA,NA
"mu2.5k1",33.52,0.53,"b",NA,6.5,NA,NA,NA,245.27,46.44,25,2,24,6,0,2,66.72,18,20,9,3,0,49.74,72.28,7,0,10,105.18,85.92,3,0,8,0,137.07,12,53.42,28,78.6,0,57.39,0,4,23,13,14,113.12,165.99,29,118.64,22,61.83,19,4,1,1,15,1,21,11,5,94.58,5,2,16,26,17,27,6,15.5,NA,NA
"mu3k1",40.22,0.53,"a",6.5,NA,NA,NA,294,55.69,28,3,27,9,0,3,80.02,21,23,12,4,0,59.71,86.67,10,0,13,113.41,94.24,4,0,11,0,164.32,15,64.05,48.61,90.9,0,68.84,1,5,26,16,17,126.09,198.99,52.03,142.24,25,74.15,22,5,1,1,18,2,24,14,6,103.03,7,2,19,29,20,45.46,8,18.5,NA,NA,NA
"mu0.1k2",1.34,1.06,"c",NA,NA,6.5,NA,NA,NA,6,2,1,0,1,0,0,0,3,1,1,0,0,0,2,3,0,0,0,4,3,0,0,0,0,5,1,2,2,3,0,2,0,0,1,1,1,4,5,2,4,1,2,1,0,0,0,1,0,1,1,0,3,0,0,1,2,1,2,0,1,NA
"mu0.2k2",2.68,1.06,"c",NA,NA,6.5,NA,NA,NA,15.16,4,3,0,3,1,0,0,5,2,2,1,0,0,4,5,1,0,1,7,6,0,0,1,0,9.73,1,4,3,6,0,4,0,1,3,1,2,8,10,4,9,2,5,2,0,0,0,2,0,2,1,1,7,1,0,2,3,2,3,1,2,NA
"mu0.4k2",5.36,1.06,"a",6.5,NA,NA,NA,28.46,7,6,1,5,2,0,1,10,4,4,2,1,0,8,10,2,0,3,14,12,1,0,2,0,17,3,8,7,11,0,9,0,1,5,3,3,15,22.33,7,16,5,9,4,1,0,0,3,1,5,3,2,13,2,1,4,6,4,6,2,3.5,NA,NA,NA
"mu0.6k2",8.04,1.06,"c",NA,NA,6.5,NA,NA,NA,41.73,11,9,1,8,3,0,2,15,6,7,4,2,0,12,16,3,0,4,20,18,2,0,4,0,22,5,12,10,17,0,13,1,2,8,5,5,21,30.4,11,21.55,8,14,7,2,1,1,5,1,7,4,3,19,3,1,6,9,6,10,3,5.5,NA
"mu0.8k2",10.73,1.06,"b",NA,6.5,NA,NA,NA,54.97,14,12,2,11,4,0,2,19,8,9,5,3,0,15,20,5,0,6,24,22,3,0,5,0,40.11,6,16,13,21,1,17,1,3,11,7,7,25,46.5,14,26,10,18,9,3,1,1,7,2,10,6,4,23,4,2,8,12,8,13,4,7.5,NA,NA
"mu1k2",13.41,1.06,"b",NA,6.5,NA,NA,NA,72.6,18,14,2,13,5,0,3,23,10,11,6,3,0,19,24,6,0,7,28,26,3,0,6,1,49.82,7,20,16,25,1,21,1,4,13,8,8,29,68.2,17,42.86,12,22,11,4,1,2,9,2,12,7,4,27,5,2,9,14,10,15,5,9,NA,NA
"mu1.5k2",20.11,1.06,"a",6.5,NA,NA,NA,101.29,27,22,4,21,9,0,5,32,16,18,10,5,0,28,33,9,0,11,52.02,35,6,1,10,1,74.04,12,29,25,34,1,30,2,7,20,12,13,57.03,82.3,26,63.73,19,31,17,6,2,3,13,3,18.29,11,7,36,8,4,14,23,15,24,8,13.5,NA,NA,NA
"mu2k2",26.82,1.06,"c",NA,NA,6.5,NA,NA,NA,148.59,33,28,5,27,10,0,6,38,21,23,12,6,0,34,39,10,1,13,69.11,59.43,7,1,11,2,98.28,15,35,31,40,2,36,3,8,26,16,17,75.72,134.37,32,84.61,25,37,22,7,3,4,18,4,24,14,8,63.84,9,5,19,29,20,30,9,18.5,NA
"mu2.5k2",33.52,1.06,"c",NA,NA,6.5,NA,NA,NA,167.45,38,33,8,32,14,0,8.11,43,26,28,17,9,1,39,65.35,15,1,18,86.19,74.13,9.46,2,16,2,122.51,20,40,36,69.44,3,41,3,11,31,21,22,94.41,163.47,37,105.49,30,42,27,10,4,5,23,6,29,19,12,79.6,13,7,24,34,25,35,13.58,23.5,NA
"mu3k2",40.22,1.06,"a",6.5,NA,NA,NA,200.53,42,37,9,36,18,0,10,73.93,30,32,21,11,1,43,78.29,19,1.48,22,103.25,88.83,12,2,20,3,146.73,24,44,40,83.23,4,66.42,5,14,35,25,26,113.12,170.54,41,126.36,34,70,31,13,5.34,6,27,7,33,23,15,95.38,16,8,28,38,29,39,17,27.5,NA,NA,NA
